sentence,start_time,end_time
"Degene die het minst weet, ligt uit het spel.",2816.5,2819.38
Behalve de mol.,2820.52,2821.7
Die hoeft nooit naar huis.,2821.7,2823.78
"Ik vind dit een hele spannende test, omdat ik een nieuwe strategie ga proberen.",2824.84,2829.9
"Ik neem ook wat nieuwe mensen mee die ik verdenk, die ik daarvoor niet heb gebruikt in de test.",2829.88,2834.94
"Als ik me daarmee in mijn vingers snijd, dan zou het zomaar kunnen zijn dat het afgelopen is voor me.",2835.96,2840.78
"Spreiden, spreiden, spreiden.",2842.04,2843.8
"Het is een ontzettend cliché, maar het is volgens mij het enige wat je echt kan helpen.",2843.8,2847.34
En snel die test maken.,2847.42,2849.18
Ik vind het nog te vroeg om op twee kandidaten te gaan zitten.,2849.98,2853.36
Namelijk Klaas en Tim.,2853.84,2855.6
Allebei nog met dezelfde redenen.,2856.06,2858.08
Intuïtie.,2858.7,2859.36
Tim staat hoog op een lijstje.,2859.88,2861.82
Is niet erg veranderd.,2861.82,2862.92
Annemieke ook.,2863.36,2864.24
"Maar ja, ik kan Taka ook net zo goed erbij schuiven.",2864.56,2867.64
Want het ging vandaag ook weer alle kanten op.,2867.68,2869.88
Waarom heeft hij ons niet even gewaarschuwd waar de antwoorden waren?,2870.5,2874.1
Een aantal mensen heb ik eigenlijk al weg kunnen strepen.,2879.44,2883.58
"En Tim, keer op keer, haalt eigenlijk vrijwel nooit geld binnen.",2883.64,2887.6
"Nou ja, trouwens gewoon helemaal nooit geld binnen.",2887.88,2889.54
Dus uiteindelijk is het een beetje raar allemaal hoe alles loopt met hem.,2890.2,2893.46
En ik heb hem gewoon nog niet weg kunnen strepen.,2893.5,2894.86
Dus staat hij op mijn verdachtenlijstje.,2894.94,2896.14
"Ik blijf, omdat ik toch al vier ronden door ben... bij mijn twee mollen die ook die vier rondes hebben overleefd.",2898.02,2907.42
Namelijk Rob en Klaas.,2907.42,2908.5
En voor de zekere trek ik een paar vragen op Tim invullen.,2908.58,2911.1
Dat je weet maar nooit.,2911.48,2912.42
Mijn verdenkingen zijn als volgt.,2913.84,2915.36
Ergens staat Cecile nog in de top drie.,2915.46,2917.28
Want Cecile brengt altijd nul euro aan het laadje.,2917.28,2920.26
In datzelfde groepje zou kunnen zitten Marjolein.,2920.78,2923.38
Want Marjolein brengt over het algemeen ook nul euro binnen.,2923.58,2926.84
En Klaas doet heel erg z'n best om ook te blenden.,2927.72,2930.38
En dan heeft hij weer een goed verhaal.,2930.46,2931.7
En hij brengt ook wel euro's in de pot.,2932.92,2935.0
Maar hij fikst ze er ook wel weer uit hoor.,2935.28,2937.14
Ik heb tot nu toe over drie A4 gespreid.,2938.36,2940.54
Durf ik het aan om te gaan spreiden over twee?,2941.08,2943.58
"Nou, in deze aflevering ben ik eigenlijk niet heel veel wijzer geworden.",2943.28,2948.82
Het is mij in ieder geval gelukt om bij mijn mollen in de buurt te zijn.,2949.72,2954.96
"Op dit moment denk ik dat ik goed zit, dus ik hou me hier ook nog vast.",2956.14,2962.76
Ik kan me voorstellen dat jullie met een trots gevoel tegenover me zitten.,2973.28,2977.1
We zijn over de helft van onze reis.,2977.58,2979.22
"Dat je hier nog bent is dus een felicitatie waard, een mijlpaal.",2979.96,2983.72
"Aan de andere kant, er zijn nog maar drie kandidaten afgevallen tot nu toe.",2984.88,2990.74
Zo knap is het dus ook weer niet.,2990.74,2993.08
Misschien hebben jullie vooral geluk gehad tot nu toe.,2993.2,2996.68
En dat houdt op een gegeven moment op.,2997.46,3000.5
Zeker in Wie is de Mol.,3003.28,3004.36
Misschien nu wel.,3008.94,3011.18
Klaas.,3012.06,3012.76
Gaat zien.,3014.3,3014.98
MUZIEK Annemieke.,3033.28,3045.54
MUZIEK MUZIEK Cecile.,3046.2,3083.76
ZANG EN MUZIEK MUZIEK Goed man.,3089.28,3138.14
Dankjewel.,3141.1,3142.1
Twee mannen en één vrouw.,3146.4,3148.84
"Dames en heren, toch?",3149.28,3151.2
"Nou, Julijn.",3153.38,3154.16
Ah!,3173.6,3175.8
Eend!,3175.8,3177.1
"Oh, shit.",3179.28,3180.48
Goodbye.,3182.0,3183.34
Dat is wel goed gehoord.,3185.0,3187.2
Je mag afscheid nemen.,3188.66,3191.32
"Dag, lieverd.",3194.82,3196.24
Ik had de avond voor de test nog even met Marjolein gesproken.,3199.78,3204.5
Ze dacht eigenlijk dat ze wel op de goede weg zat.,3204.58,3207.28
Dus daaruit leid ik dan nu af dat ze toch iets te veel misschien op één is gaan zitten.,3207.28,3211.62
En dat is schijnbaar niet de juiste mol.,3212.06,3213.94
Leuk.,3214.92,3216.12
"Veel plezier, hè?",3216.34,3217.1
Dank je wel.,3217.22,3217.68
"Best wel onverwacht eigenlijk, omdat Marjolein iemand was die echt alles goed bijhield.",3217.9,3222.9
Ik denk van iedereen echt de meeste kennis had van anderen.,3223.18,3227.68
"Marjolein, ga je mee?",3227.76,3228.7
Ja.,3228.94,3229.4
Op de een of andere manier is het gewoon misgegaan in de test.,3230.22,3233.22
En in één keer stonden we afscheid te nemen van elkaar.,3233.68,3235.94
"Marjolein, je leek onbewogen toen je een rood scherm kreeg.",3235.7,3240.4
"Ja, je houdt er altijd rekening mee.",3241.04,3242.78
Maar je hebt een joker.,3243.02,3244.48
Niet ingezet.,3244.48,3246.38
"Ja, maar één joker maakt het nog niet, denk ik, in deze fase van het spel.",3246.48,3250.56
Ik vraag me af of dat het grote verschil gemaakt heeft.,3250.64,3252.9
Weet iemand op wie zij zat?,3254.34,3257.22
Ze was heel erg stil daarover.,3257.62,3259.02
"Ja, ze heeft niks gezegd.",3259.02,3260.3
Ook niet tegen jou?,3260.42,3261.18
Nee.,3261.18,3261.4
"Cecile, ook niet tegen jou?",3261.56,3263.06
Nee.,3263.06,3263.32
"Nog één keer, Cecile, tegen jou.",3262.7,3264.26
Niet tegen mij.,3264.26,3265.16
"Jammer, Cecile.",3265.42,3266.44
Waar was je op aan het wachten?,3267.82,3269.26
Op de finale.,3269.26,3270.96
Dan zou je hem inzetten.,3271.42,3272.44
"Vlak voor de finale, om hem zeker te halen.",3272.44,3274.94
Ja.,3275.28,3275.74
Dat lijkt alsof je dan zeker bent van je zaak... als je tot dan durft te wachten.,3275.74,3280.6
Ik denk dat ik ook wel zeker was van mijn zaak.,3280.86,3283.1
Oké.,3283.62,3284.04
Gefeliciteerd.,3284.04,3284.62
We zijn er nog.,3285.98,3288.54
We zijn er nog.,3288.54,3289.86
Maar ik vond het fantastisch.,3290.0,3291.46
Het was ontzettend leuk.,3291.46,3292.4
En ik vond het mooi.,3291.7,3294.42
Dankjewel.,3294.98,3295.68
Dankjewel.,3295.68,3296.6
En een goede reis.,3296.64,3297.28
Vanmiddag gaan jullie aan de slag als decorbouwer.,3306.32,3311.82
Wij moesten ervoor zorgen dat zowel links als rechts identiek zouden worden ingericht.,3312.88,3318.3
"Als iedereen naar elkaar heen leutert, dan verstaan we elkaar niet.",3318.7,3324.22
C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U-C-U- op ware grootte mezelf staan.,3323.7,3355.74
"Hé, Moppie!",3355.9,3356.76
"Oh, mijn god!",3356.84,3357.46
De auto is stijg!,3357.9,3358.74
